CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2022 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);;Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;;Gov't Expenditure % of GDP ;Country;;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
1;Afghanistan;Afghanistan;Asia-Pacific;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Afghanistan;20,0;20,0;7.47;Afganistan ;N/A;Afghanistan;Afghanistan;38.928341;78.729;-5,0;0.9824;2390.024;11.73;5.607;13,0;7.785
2;Albania;Albania;Europe;50;30;66.6;55.5;49.8;35.6060774796946;89.1;72.1;70.6;70.7;51.0661217975723;82,0;82.6;70;70;3.7;Albania;23,0;15,0;18.3;Albania;30.5146666666667;Albania;Albania;2.837743;40.737;-3.5;1.9856;14218.106;11.7;1.603;1 107,0;75.96
3;Algeria;Algeria;Middle East and North Africa;167;13;45.8;27.9;29.7;30.0988330656811;67.2;57.1;38.6;50,0;51.4700834042302;80.1;57.4;30;30;13.8;Algeria;35,0;26,0;37.2;Algeria;37.827;Algeria;Algeria;43.851043;491.459;-5.992;0.1016;11112.187;12.83;2.415;1 125,0;53.067
4;Angola;Angola;Sub-Saharan Africa;139;29;52.6;39.8;25.3;20.6337447759053;86.6;86.4;80,0;37.6;53.8935357509052;61.2;70,0;30;40;7.5;Angola;25,0;25,0;9.4;Angola;21.255;Angola;Angola;32.866268;215.105;-3.975;-1.861;6931.862;7.7;22.277;-1 866,0;127.115
5;Argentina;Argentina;Americas;144;27;50.1;35.1;57.9;45.0551330680231;73.3;53,0;16.8;55.1;51.0464351100355;37.9;60.6;55;60;12.2;Argentina;35,0;25,0;28.6;Argentina;39.5813333333333;Argentina;Argentina;45.376763;941.848;-9.956;-2.774;20750.99;11.67;42.015;4 123,0;102.998
6;Armenia;Armenia;Europe;58;34;65.3;50.4;33.1;50.7801070433497;86.9;78.9;75.5;64.9;47.2254398831455;77.5;73.6;75;70;5.7;Armenia;22,0;18,0;22.51;Armenia;26.5336666666667;Armenia;Armenia;2.963234;39.38;-7.571;2.5898;13261.333;20.21;1.23;117,0;62.787
7;Australia;Australia;Asia-Pacific;12;4;77.7;91.7;95.2;87.0293596004061;62.5;51.6;52,0;84.6;64.2160780451093;83.2;90,0;80;90;2.5;Australia;45,0;30,0;28.68;Australia;40.179;Australia;Australia;25.687041;1329.878;-2.438;1.4986;51680.434;6.61;0.868;20 146,0;63.128
8;Austria;Austria;Europe;22;15;73.8;98.4;94.6;82.8666245541182;45.5;20.3;71.7;82.3;78.3599315225301;82.3;79.2;80;70;2.9;Austria;55,0;25,0;42.44;Austria;51.5576666666667;Austria;Austria;8.917205;491.5;-6.59;0.3596;55218.46;5.77;1.391;-17 340,0;85.224
9;Azerbaijan;Azerbaijan;Europe;75;37;61.6;53.6;15.9;28.616981938259;87.7;62.7;99.1;64.6;55.9020567069698;74.5;66.6;70;60;9.2;Azerbaijan;25,0;20,0;14.34;Azerbaijan;35.2586666666667;Azerbaijan;Azerbaijan;10.110116;145.77;-4.29;-0.6962;14430.858;6.27;2.824;507,0;21.37
10;Bahamas;Bahamas;Americas;38;6;68.7;61.1;78.8;64.2929148065302;96.5;85.8;67.3;63.3;69.2841924249519;79.2;49,0;50;60;18;Bahamas. The;0,0;0,0;18.7;Bahamas;21.7323333333333;Bahamas;Bahamas;0.393248;12.762;-16.281;-1.4954;33148.146;14.41;0.039;897,0;68.649
11;Bahrain;Bahrain;Middle East and North Africa;74;4;62,0;65.9;27.4;41.5906808758062;99.9;65.5;0,0;60.2;54.8538701480772;81.1;83,0;85;80;6;Bahrain;0,0;0,0;3.02;Bahrain;33.9243333333333;Bahrain;Bahrain;1.701583;73.804;-5.395;1.233;48765.979;4.09;-2.324;1 007,0;132.878
12;Bangladesh;Bangladesh;Asia-Pacific;137;29;52.7;36.3;28.1;22.1656529646091;82.6;93.2;54,0;55.6;36.5784141786012;70,0;63.8;50;40;10.6;Bangladesh ;25,0;32.5;7.69;Bangladesh;15.0153333333333;Bangladesh;Bangladesh;164.689383;874.047;3.798;6.8426;5307.243;5.3;5.648;2 564,0;38.855
13;Barbados;Barbados;Americas;28;4;71.3;72.6;88.2;68.6523855732897;80.6;70.8;79.7;64.7;63.3745700453804;78.6;58.4;70;60;13.3;Barbados;28.5;5.5;33.1;Barbados;31.2203333333333;Barbados;Barbados;0.287371;3.902;-17.6;-3.0636;13552.686;12.79;2.882;262,0;148.968
14;Belarus;Belarus;Europe;135;45;53,0;34.5;15.5;43.7236727608265;93.3;56.7;95.3;54.5;46.7563058130439;70.2;75.6;30;20;4.7;Belarus;13,0;18,0;13.3;Belarus;37.982;Belarus;Belarus;9.398861;189.922;-0.9;0.7378;20187.326;5.28;5.536;1 397,0;48.045
15;Belgium;Belgium;Europe;37;24;69.6;92.5;91.2;83.6471898779977;48.2;10.1;50.3;82.8;57.4045197067203;84.3;79.2;85;70;2.9;Belgium;50,0;29,0;42.92;Belgium;54.752;Belgium;Belgium;11.555997;588.752;-6.424;0.00139999999999993;51096.132;6.01;0.428;8 437,0;114.99
16;Belize;Belize;Americas;109;22;56.6;34.7;70.2;38.088843408921;77,0;64.1;37.6;54,0;59.9482058065417;82.5;55.6;55;50;17.2;Belize;25,0;25,0;32.4;Belize;34.583;Belize;Belize;0.397621;2.531;-14.089;-1.5374;6046.025;7.82;0.12;76,0;127.408
17;Benin;Benin;Sub-Saharan Africa;81;6;61,0;44.3;55.3;40.2789506215407;68.4;91.6;83.4;47.7;59.5635844982183;80.4;61.4;50;50;11.8;Benin;45,0;30,0;15.4;Benin;16.7466666666667;Benin;Benin;12.123198;41.742;1.997;4.9144;3436.722;2.54;3,0;176,0;45.387
18;Bhutan;Bhutan;Asia-Pacific;94;19;59.3;67.2;60.9;73.456809011733;82.4;71.6;72.4;62.9;57.1856497485987;72.7;40.8;20;30;22.1;Bhutan;25,0;30,0;15.4;Bhutan;30.7463333333333;Bhutan;Bhutan;0.771612;8.988;-0.817;4.2054;12059.621;3.74;4.15;3,0;120.743
19;Bolivia;Bolivia;Americas;169;30;43,0;14.1;28.4;28.6870404525683;86,0;58.8;10.9;54.7;46.2490294472822;72.8;60.8;15;40;9.6;Bolivia;13,0;25,0;24.7;Bolivia;37.065;Bolivia;Bolivia;11.673029;97.804;-7.7;1.44;8343.912;5.61;0.942;-1 048,0;67.29
20;Bosnia and Herzegovina;BosniaHerzegovina;Europe;68;36;63.4;49.2;37.2;33.3579579009523;94,0;46.2;95.9;66.6;60.2187723537335;84.9;68.8;65;60;8.1;Bosnia and Herzegovina;10,0;10,0;20.1;Bosnia and Herzegovina;42.3623333333333;Bosnia and Herzegovina;Bosnia and Herzegovina;3.280815;49.339;-5.5;1.4786;15046.922;16.85;-0.577;371,0;38.341
21;Botswana;Botswana;Sub-Saharan Africa;61;3;64.8;74.2;70.1;61.4306626481973;87.4;59.8;19.2;56.7;61.5946505813311;75.4;77.2;65;70;6.4;Botswana;25,0;22,0;12.1;Botswana;36.5906666666667;Botswana;Botswana;2.351625;39.638;-8.25;1.2926;16892.806;17.7;1.994;80,0;19.977
22;Brazil;Brazil;Americas;133;26;53.3;50.3;57.2;39.9624842335097;69.9;53.8;0.4;63.2;55.9233908239585;78.4;60,0;60;50;10;Brazil;27.5;34,0;33.1;Brazil;39.247;Brazil;Brazil;212.559409;3153.63;-4.059;-0.5634;14916.285;13.67;3.212;24 778,0;98.943
186;Brunei Darussalam;Brunei ;Asia-Pacific;62;9;64.8;67,0;51.6;61.1491847549499;90.8;68.1;20,0;72.4;74.9583494791727;72.3;84.6;65;50;0.2;Brunei;0,0;18.5;23.96;Brunei Darussalam;32.5973333333333;Brunei Darussalam;Brunei Darussalam;0.437483;28.726;1.203;0.7976;62371.126;8.37;1.937;577,0;2.854
23;Bulgaria;Bulgaria;Europe;29;20;71,0;77.3;61.1;45.5743794299993;93.9;60.5;96.2;72.1;64.4127612717483;81.9;79.2;60;60;2.9;Bulgaria;10,0;10,0;20.3;Bulgaria;36.277;Bulgaria;Bulgaria;6.927288;164.623;-3.844;2.053;23817.48;5.71;1.219;2 426,0;23.791
24;Burkina Faso;BurkinaFaso;Sub-Saharan Africa;100;13;58.3;47,0;36.3;41.3595291155173;81.8;82.3;66.1;41.9;61.6067541986081;75.6;61,0;65;40;9.5;Burkina Faso;27.5;28,0;16.8;Burkina Faso;24.3103333333333;Burkina Faso;Burkina Faso;20.903278;47.313;0.793;5.0836;2262.427;4.96;1.885;149,0;44.326
25;Burma;Burma;Asia-Pacific;149;32;49.6;23.1;16.7;29.8222829949852;87.2;86.8;67.2;41.7;49.6389864163978;73.9;69.4;30;20;5.3;Burma;25,0;25,0;5.9;Burma;20.9783333333333;Burma;Burma;54.409794;278.848;3.189;5.7004;5241.645;1.79;5.725;1 834,0;39.301
26;Burundi;Burundi;Sub-Saharan Africa;172;45;39.4;18.8;7.1;12.2182871136527;77.1;76.4;10.3;27.5;41.5161963256616;70.3;51,0;50;30;14.5;Burundi;35,0;30,0;12.9;Burundi;28.0513333333333;Burundi;Burundi;11.890781;9.023;-1.282;0.4082;759.861;0.8;7.305;6,0;69.513
27;Cambodia;Cambodia;Asia-Pacific;106;21;57.1;41.2;20.9;12.2579029945802;88.7;81.5;98,0;55.2;47.7919899905282;74.7;64.8;50;50;10.1;Cambodia;20,0;20,0;18.23;Cambodia;24.8096666666667;Cambodia;Cambodia;16.718971;73.609;-3.532;4.9812;4695.073;0.31;2.94;3 625,0;31.576
28;Cameroon;Cameroon;Sub-Saharan Africa;136;27;52.9;39.1;10.9;19.8873886321471;74.7;90.1;78.7;60.4;46.3987279632988;79.9;55.2;30;50;14.9;Cameroon;35,0;33,0;14.6;Cameroon;18.1643333333333;Cameroon;Cameroon;26.545864;96.798;-2.769;2.669;3646.457;3.62;2.801;488,0;43.17
29;Canada;Canada;Americas;15;1;76.6;89.5;96.4;86.6514673159273;75.7;39.6;62.8;78.8;68.6759352456279;78.2;83.2;80;80;3.4;Canada;33,0;15,0;33.45;Canada;44.883;Canada;Canada;38.005238;1850.066;-5.403;0.5858;48720.435;9.48;0.717;23 823,0;117.842
30;Cabo Verde;CaboVerde;Sub-Saharan Africa;49;2;66.7;66.1;77.4;60.86283972492;77.5;68.1;48.3;59.8;52.3735376853293;84.4;66,0;80;60;12,0;Cabo Verde;35,0;24,0;21.2;CaboVerde;32.5856666666667;Cabo Verde;CABOVERDE;0.555988;3.577;-14.029;0.9156;6424.051;13.41;0.605;73,0;139.041
31;Central African Republic;CentralAfricanRepublic;Sub-Saharan Africa;168;43;45.7;7.1;12.3;18.3450432346022;65.3;88.1;95.2;26.5;39.5473107471065;75.3;46.2;45;30;16.9;Central African Republic;50,0;30,0;8.6;Central African Republic;19.886;Central African Republic;Central African Republic;4.829764;4.731;-0.015;3.2106;979.403;4.33;2.304;35,0;44.932
32;Chad;Chad;Sub-Saharan Africa;146;34;49.8;28.9;13.6;13.0577052738173;44.6;92.7;96.3;28.2;54.4766659472671;74.2;52,0;60;40;14,0;Chad;60,0;45,0;13.3;Chad;15.5546666666667;Chad;Chad;16.425859;26.462;-0.887;-0.7124;1611.004;2.26;3.482;558,0;43.003
33;Chile;Chile;Americas;20;2;74.4;73,0;91.4;71.3832572320027;72.4;78.1;75.3;76.2;57.975527469485;79.4;78,0;70;70;6,0;Chile;40,0;27,0;20.66;Chile;27.0153333333333;Chile;Chile;19.116209;454.668;-5.841;0.355;23366.265;11.51;3.044;8 386,0;32.542
34;China;China;Asia-Pacific;158;35;48,0;43.7;37.4;39.2705584273982;71.2;64.2;11.1;68.8;57.1935428259399;70,0;73.2;20;20;3.4;China;45,0;25,0;15.19;China;34.523;China;China;1402.112;24142.83;2.27;5.7268;17191.694;5,0;2.39;149 342,0;66.826
35;Colombia;Colombia;Americas;60;12;65.1;50.9;59.1;42.0233345539637;71.3;66,0;56.7;68.8;60.7297449975601;79.3;76.4;80;70;6.8;Colombia;39,0;31,0;19.68;Colombia;33.652;Colombia;Colombia;50.882884;728.767;-6.847;0.4888;14323.895;15.44;2.522;7 690,0;62.787
36;Comoros;Comoros;Sub-Saharan Africa;143;33;50.4;28.9;21.2;20.1077404474605;63,0;88.5;96.2;48.3;55.519415376938;81.5;27,0;45;30;26.5;Comoros;30,0;50,0;17.4;Comoros;19.548;Comoros;Comoros;0.869595;2.735;-0.503;2.5272;3048.01;8.43;1.088;9,0;26.807
37;Congo, Democratic Republic of the Congo;DemcoraticRepublicCongo;Sub-Saharan Africa;160;40;47.6;14.8;13.2;11.8153778274918;74.4;95.7;97.4;28.3;53.9607419262119;63.7;68,0;30;20;8.5;Congo. Dem. Rep.;40,0;30,0;7.5;Congo. Democratic Republic of the Congo;11.9473333333333;Congo. Democratic Republic of the Congo;Congo. Democratic Republic of the Congo;89.561404;100.452;-0.064;3.2516;1106.371;4.55;11.349;1 647,0;15.156
38;Congo, Republic of;RepublicCongo;Sub-Saharan Africa;155;37;48.5;30.4;14.9;13.36182475815;82.4;86,0;80,0;29.5;43.3348988963413;80.5;56.4;35;30;11.8;Congo. Republic of ;30,0;28,0;8.5;Congo. Republic of;21.585;Congo. Republic of;Congo. Republic of Congo;5.518092;19.605;-7.813;-5.9876;4187.539;10.27;2.386;4 016,0;101.682
39;Costa Rica;CostaRica;Americas;55;10;65.4;66.4;78.4;63.1380545828702;79.2;86.6;10.9;66,0;56.5896807085058;83.1;74.6;70;50;5.2;Costa Rica ;25,0;30,0;23.6;Costa Rica;21.121;Costa Rica;Costa Rica;5.094114;102.517;-4.796;1.558;19990.085;17.08;0.724;1 711,0;68.347
40;Côte d'Ivoire;CoeDivoire;Sub-Saharan Africa;76;4;61.6;45.4;30,0;33.8260385161969;79.1;89.7;73.8;61,0;55.9221048587343;71.3;73.6;75;50;8.2;Côte d'Ivoire ;36,0;25,0;13.1;Côte d'Ivoire;18.553;Côte d'Ivoire;Côte d'Ivoire;26.378275;144.631;2.277;5.9892;5365.105;3.5;2.5;509,0;45.707
41;Croatia;Croatia;Europe;45;27;67.6;81.1;69.9;50.018559443999;82.8;26.3;75.2;72.4;58.6803143778491;80.5;79.2;75;60;2.9;Croatia;30,0;18,0;22.2;Croatia;49.5603333333333;Croatia;Croatia;4.0472;112.123;-9,0;0.721;27717.422;7.2;0.258;1 304,0;87.207
42;Cuba;Cuba;Americas;175;31;29.5;31.5;15.6;39.8935742916871;48.4;0,0;11.4;41.1;20,0;61.8;64,0;10;10;8,0;Cuba;50,0;30,0;42,0;Cuba;65.9;Cuba;Cuba;11.326616;142.6;-11,0;-1.4;$12 600;3.87;n/a;n/a;69.4
43;Cyprus;Cyprus;Europe;23;16;72.9;85.6;90.9;62.8566546904956;80.3;44.3;71.2;74.9;66.3745809011439;83.9;79.2;75;60;2.9;Cyprus;35,0;12.5;24.2;Cyprus;43.107;Cyprus;Cyprus;1.207361;35.531;-5.106;2.961;40107.126;7.21;-1.097;-3 647,0;118.201
44;Czech Republic;CzechRepublic;Europe;21;14;74.4;88.8;81.8;59.6092249852513;78.9;44.7;93.2;80.6;56.496677859489;79,0;79.2;70;80;2.9;Czech Republic;23,0;19,0;34.93;Czech Republic;42.935;Czech Republic;Czech Republic;10.698896;434.364;-5.556;1.5326;40618.05;2.94;3.161;6 293,0;37.57
45;Denmark;Denmark;Europe;10;7;78,0;98.6;89.6;99.4631122394688;42.3;21.1;96.2;89,0;64.3828417787064;85.7;79.2;90;80;2.9;Denmark;56,0;22,0;46.34;Denmark;51.2733333333333;Denmark;Denmark;5.831404;343.152;-3.287;1.5614;58932.766;5.66;0.333;1 151,0;43.42
46;Djibouti;Djibouti;Sub-Saharan Africa;120;21;55.3;33.1;28.3;24.5117905560592;80,0;83.3;92.1;48.6;50.659450701597;69.5;43.2;60;50;20.9;Djibouti;30,0;25,0;21.8;Djibouti;23.5836666666667;Djibouti;Djibouti;0.988002;5.649;-1,0;5.398;5096.106;11.57;2.878;240,0;42.236
47;Dominica;Dominica;Americas;125;24;54.4;68.1;81.6;56.2341417708814;71.6;8.5;1.1;55.8;58.9789138406658;84.9;55.6;70;40;14.7;Dominica;35,0;25,0;31.5;Dominica;55.24;Dominica;Dominica;0.071991;0.829;-10.445;-1.8708;11072.815;N/A;-0.295;25,0;97.102
48;Dominican Republic;DominicanRepublic;Americas;71;16;63,0;54,0;55.9;30.8143909192663;84.6;89.9;66.8;68.1;52.9095443866889;73.5;69,0;70;40;8,0;Dominican Republic;25,0;27,0;13.5;Dominican Republic;18.345;Dominican Republic;Dominican Republic;10.847904;194.555;-6.731;3.326;18608.133;8.9;3.783;2 554,0;69.405
49;Ecuador;Ecuador;Americas;126;25;54.3;31.4;47.3;37.1988344117368;77.5;59.7;63.1;60.3;57.2783201671232;81.5;61,0;35;40;9.5;Ecuador;35,0;25,0;20.1;Ecuador;36.653;Ecuador;Ecuador;17.64306;192.77;-7.5;-1.0114;11008.713;6.23;-0.339;1 017,0;64.582
50;Egypt;Egypt;Middle East and North Africa;152;11;49.1;39,0;22.1;28.7312532414528;87.1;75.7;3.7;54.1;32.8909990558092;70.9;60.2;65;50;12.4;Egypt;22.5;22.5;16.7;Egypt;28.4826666666667;Egypt;Egypt;102.334403;1290.221;3.57;4.5732;12789.913;10.45;5.7;5 852,0;90.186
51;El Salvador;ElSalvador;Americas;90;18;59.6;43.2;46.8;36.1268659057009;77.7;74.7;50.3;65,0;54.5797169801201;76.8;69.4;60;60;7.8;El Salvador ;30,0;30,0;20.8;El Salvador;29.0566666666667;El Salvador;El Salvador;6.486201;54.621;-8.58;0.206;8421.511;6.98;0.214;200,0;88.204
52;Equatorial Guinea;EquatorialGuinea;Sub-Saharan Africa;163;41;47.2;18.9;6.9;6.46453089244851;75.1;91,0;94.8;34.4;46.4939659835564;73,0;48.8;40;30;15.6;Equatorial Guinea;35,0;35,0;6.3;Equatorial Guinea;17.3443333333333;Equatorial Guinea;Equatorial Guinea;1.402985;25.015;-5.778;-6.4368;17788.365;9.15;4.798;530,0;51.079
53;Eritrea;Eritrea;Sub-Saharan Africa;171;44;39.7;8.6;3.9;11.1047049703132;72.7;68.6;79,0;30.1;51.2427761700214;61.5;69.2;0;20;5.4;Eritrea;30,0;30,0;30.5;Eritrea;32.3733333333333;Eritrea;Eritrea;3.55;6.456;-0.627;2.7234;1820.706;7.44;4.914;74,0;184.701
54;Estonia;Estonia;Europe;7;4;80,0;91.5;92.3;83.8507635174424;81.1;48.4;93.3;86.9;61.0564883789472;82.8;79.2;90;70;2.9;Estonia;20,0;20,0;33.07;Estonia;41.4903333333333;Estonia;Estonia;1.331057;50.162;-2.932;3.0212;37745.14;6.46;-0.634;3 156,0;18.498
156;Eswatini;Eswatini;Sub-Saharan Africa;141;31;51.4;46.1;36.9;32.1058448594201;78.6;63.9;15.6;48.9;54.8075567726967;77.9;71.8;50;40;9.1;Eswatini;33,0;27.5;17.2;Eswatini;34.706;Eswatini;Eswatini;1.160164;10.094;-3.342;0.8804;8956.868;23.4;3.872;41,0;47.075
55;Ethiopia;Ethiopia;Sub-Saharan Africa;150;35;49.6;38.1;20.5;33.1825707741454;78.3;93,0;81.6;42.7;38.8315698319321;57.7;61.4;30;20;11.8;Ethiopia;35,0;30,0;6.7;Ethiopia;15.307;Ethiopia;Ethiopia;114.963583;282.612;6.057;8.2014;2908.295;2.79;20.354;2 395,0;55.263
56;Fiji;Fiji;Asia-Pacific;111;23;56.4;53.2;43.4;54.3021816119523;86.8;69.6;9.1;58.8;65.9667453702797;74.9;55.2;55;50;14.9;Fiji;20,0;20,0;22.7;Fiji;31.833;Fiji;Fiji;0.896444;10.406;-19,0;-1.5666;11566.584;4.79;-2.6;241,0;73.657
57;Finland;Finland;Europe;9;6;78.3;100,0;97.8;96.3648276489595;68.4;10.7;83.2;88.7;65.0602133530113;84.9;79.2;85;80;2.9;Finland;31.25;20,00;42.19;Finland;54.563;Finland;Finland;5.530719;275.454;-2.893;1.1388;49853.326;7.83;0.383;2 575,0;67.098
