,Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes)
0,1,Armenia,2019,3022.0,94.29,32.26340172071476,2945,2958,0.44142614601018676,3.9695021894236784,12.0
1,2,Afghanistan,2019,2273.0,57.31,8.227012758468984,36296,38042,4.810447432223937,0.5070120352680965,28.0
2,3,Albania,2019,3338.0,116.02,30.587177950868785,2884,2881,-0.10402219140083217,2.297077242545368,12.0
3,4,Algeria,2019,3493.0,90.84,10.850271972516461,41389,43053,4.020391891565391,1.2503519759675905,291.0
4,7,Angola,2019,2445.0,52.09,8.629856850715747,29817,31825,6.734413254183855,2.7530828921197856,49.0
5,8,Antigua and Barbuda,2019,2485.0,80.8,28.973843058350102,95,97,2.1052631578947367,16.202541275047547,0.0
6,9,Argentina,2019,3304.0,106.95,30.78087167070218,43937,44781,1.9209322438946674,8.938024478423829,2248.0
7,10,Australia,2019,3417.0,107.94,32.1627158326017,24585,25203,2.5137278828553997,9.449200412121504,1278.0
8,11,Austria,2019,3691.0,108.95,31.2652397724194,8820,8955,1.530612244897959,3.1435813882713597,132.0
9,12,Bahamas,2019,2626.0,76.1,28.52246763137852,382,389,1.8324607329842932,13.243007230122378,6.0
10,14,Barbados,2019,2989.0,90.04,23.85413181666109,286,287,0.34965034965034963,10.725573678831514,16.0
11,16,Bangladesh,2019,2626.0,61.33,4.683929931454684,159685,163046,2.104768763503147,0.3989608655280702,260.0
12,19,Bolivia (Plurinational State of),2019,2464.0,74.37,22.15909090909091,11193,11513,2.858929688197981,11.456246664294609,494.0
13,20,Botswana,2019,2570.0,72.18,13.852140077821012,2205,2304,4.489795918367347,0.7694472576088695,2.0
14,21,Brazil,2019,3246.0,93.81,26.956253850893408,207834,211050,1.5473887814313345,9.468901661897888,14137.0
15,23,Belize,2019,2744.0,73.54,22.448979591836736,376,390,3.723404255319149,6.569421702144655,21.0
16,25,Solomon Islands,2019,2411.0,52.85,8.378266279552053,636,670,5.345911949685535,1.5154514411686166,0.0
17,27,Bulgaria,2019,2854.0,82.24,24.176594253679045,7102,7000,-1.4362151506617855,5.226425780687523,109.0
18,28,Myanmar,2019,2847.0,97.57,22.409553916403233,53383,54045,1.2400951613809639,7.424224490090507,1817.0
19,29,Burundi,2019,1825.0,43.35,2.5205479452054793,10827,11531,6.5022628613651055,0.16145618314880839,7.0
20,32,Cameroon,2019,2770.0,72.03,4.115523465703971,24566,25876,5.332573475535293,0.7777162355966569,84.0
21,33,Canada,2019,3539.0,108.55,27.126306866346425,36732,37411,1.848524447348361,7.600723058522066,1504.0
22,35,Cabo Verde,2019,2583.0,71.9,16.492450638792103,537,550,2.4208566108007448,4.532607830970678,1.0
23,37,Central African Republic,2019,1870.0,50.9,14.224598930481283,4596,4745,3.2419495213228893,0.9769394183576295,7.0
24,38,Sri Lanka,2019,2719.0,67.43,7.576314821625598,21128,21324,0.9276789095039758,2.124048426345302,189.0
25,39,Chad,2019,2272.0,78.06,14.26056338028169,15017,15947,6.192981287873743,0.11816274358479648,7.0
26,40,Chile,2019,3078.0,93.87,25.730994152046783,18470,18952,2.609637249593936,7.630760055898243,769.0
27,44,Colombia,2019,2992.0,72.72,18.683155080213904,48910,50339,2.921692905336332,7.858847337191415,1693.0
28,45,Comoros,2019,2285.0,57.57,8.052516411378555,814,851,4.545454545454546,1.7852822157609185,1.0
29,46,Congo,2019,2183.0,53.11,10.169491525423728,5111,5381,5.282723537468206,6.2809882090123565,7.0
30,48,Costa Rica,2019,2996.0,80.84,23.130841121495326,4950,5048,1.97979797979798,5.916317647273991,145.0
31,49,Cuba,2019,3375.0,82.59,15.644444444444444,11339,11333,-0.05291471911103272,5.399387113140538,25.0
32,50,Cyprus,2019,3046.0,92.38,22.52133946158897,1180,1199,1.6101694915254237,5.574137202169474,27.0
33,52,Azerbaijan,2019,3154.0,95.92,18.357641090678502,9845,10048,2.0619603859827325,3.012386966756717,112.0
34,53,Benin,2019,2775.0,62.92,4.612612612612613,11175,11801,5.60178970917226,2.4115315315315313,15.0
35,54,Denmark,2019,3421.0,115.38,36.36363636363637,5732,5772,0.6978367062107467,4.827219470394381,158.0
36,55,Dominica,2019,2929.0,81.47,22.396722430863775,71,72,1.408450704225352,9.071888577615438,0.0
37,56,Dominican Republic,2019,2970.0,69.79,17.037037037037038,10513,10739,2.149719395034719,8.294063926940638,355.0
38,57,Belarus,2019,3295.0,91.65,25.371775417298938,9450,9452,0.021164021164021163,5.683497204149085,467.0
39,58,Ecuador,2019,2563.0,64.09,22.2395630120952,16785,17374,3.509085492999702,4.596080150080973,312.0
40,59,Egypt,2019,3307.0,95.52,8.07378288478984,96443,100388,4.0904990512530714,2.940338261305409,1443.0
41,60,El Salvador,2019,2739.0,77.77,15.735669952537423,6388,6454,1.0331872260488415,6.079381035974533,147.0
42,63,Estonia,2019,3167.0,102.35,34.92263972213451,1319,1326,0.530705079605762,4.540349754099424,20.0
43,66,Fiji,2019,2859.0,77.9,18.083245890171387,877,890,1.4823261117445838,9.429132707575693,35.0
44,67,Finland,2019,3320.0,117.47,38.463855421686745,5511,5532,0.38105606967882416,3.9090443967651427,139.0
45,68,France,2019,3532.0,109.73,31.62514156285391,66769,65130,-2.4547319864008745,4.336252501590158,1660.0
46,70,French Polynesia,2019,2921.0,95.58,28.141047586442998,276,279,1.0869565217391304,11.132179353102005,1.0
47,72,Djibouti,2019,2795.0,65.93,7.191413237924865,944,974,3.1779661016949152,0.8246428308868575,
48,73,Georgia,2019,2860.0,79.11,19.65034965034965,4009,3997,-0.29932651534048393,3.871529840022991,22.0
49,74,Gabon,2019,2633.0,78.93,13.900493733383973,2065,2173,5.230024213075061,8.646868773054331,4.0
50,75,Gambia,2019,2483.0,62.82,8.01449859041482,2214,2348,6.052393857271906,2.966749237279252,2.0
51,79,Germany,2019,3559.0,104.24,29.699353751053668,82658,83517,1.0392218539040383,3.3135288887520353,1544.0
52,80,Bosnia and Herzegovina,2019,3320.0,98.21,17.951807228915662,3352,3301,-1.5214797136038185,3.317362601089289,70.0
53,81,Ghana,2019,3114.0,61.76,3.9820166987797045,29121,30418,4.453830569005185,1.5160785141781266,66.0
54,83,Kiribati,2019,3071.0,70.35,11.592315206773039,114,118,3.508771929824561,3.264377762809848,1.0
55,84,Greece,2019,3396.0,107.35,24.823321554770317,10569,10473,-0.9083167754754471,4.937952788937832,230.0
56,86,Grenada,2019,2479.0,72.51,24.00161355385236,111,112,0.9009009009009009,11.835959042256324,0.0
57,89,Guatemala,2019,2556.0,69.69,11.150234741784038,16915,17581,3.9373337274608335,4.954509400390164,234.0
58,90,Guinea,2019,2849.0,57.49,4.9491049491049495,12068,12771,5.825323168710639,0.6251460498035841,11.0
59,91,Guyana,2019,2940.0,87.15,18.26530612244898,775,783,1.032258064516129,9.23839343956761,39.0
60,93,Haiti,2019,2159.0,47.65,7.827698008337193,10982,11263,2.5587324713167,2.7083441725304085,9.0
61,95,Honduras,2019,2678.0,62.28,12.17326362957431,9429,9746,3.3619683953759676,5.799748329872015,218.0
62,97,Hungary,2019,3391.0,89.48,32.64523739309938,9730,9685,-0.4624871531346352,5.138331522200184,532.0
63,98,Croatia,2019,3128.0,93.51,30.498721227621484,4183,4130,-1.2670332297394216,3.4686525592965003,54.0
64,99,Iceland,2019,3637.0,143.94,45.724498212812755,334,339,1.4970059880239521,5.64956064195615,10.0
65,100,India,2019,2581.0,64.87,11.545912437039908,1338677,1366418,2.0722698604667147,0.7839267991062188,4232.0
66,101,Indonesia,2019,2879.0,67.54,7.849947898575895,264651,270626,2.2576903166812143,1.8286029681158318,3539.0
67,102,Iran (Islamic Republic of),2019,3005.0,83.12,11.314475873544094,80674,82914,2.7766070853062943,5.89206117657785,2292.0
68,103,Iraq,2019,2615.0,64.77,7.3804971319311665,32210,33717,4.678671220117976,1.5324445375730114,101.0
69,104,Ireland,2019,3811.0,111.05,26.502230385725532,4753,4882,2.7140753208499895,4.589231604260198,154.0
70,105,Israel,2019,3558.0,126.1,23.97414277684092,8244,8519,3.3357593401261525,13.191588317278448,617.0
71,106,Italy,2019,3505.0,104.54,24.022824536376604,60674,60550,-0.20437090022085241,3.5046919273835813,1358.0
72,107,C̫te d'Ivoire,2019,2841.0,59.27,3.9422738472368883,24437,25717,5.237958832917298,0.48631342427179314,53.0
73,108,Kazakhstan,2019,3331.0,104.1,27.559291504052837,18080,18551,2.605088495575221,3.768361140469562,214.0
74,109,Jamaica,2019,2770.0,77.09,19.061371841155236,2921,2948,0.9243409791167408,12.909143959250285,134.0
75,110,Japan,2019,2691.0,88.02,21.14455592716462,127503,126860,-0.5043018595640887,4.705955417092999,2298.0
76,112,Jordan,2019,2529.0,63.72,14.472123368920522,9786,10102,3.2291027999182504,6.068953563322988,185.0
77,113,Kyrgyzstan,2019,2728.0,84.85,21.59090909090909,6190,6416,3.6510500807754442,1.5601775599566141,8.0
78,114,Kenya,2019,2205.0,61.19,11.700680272108844,50221,52574,4.68529101371936,0.48107352530053127,89.0
79,115,Cambodia,2019,2700.0,65.53,7.777777777777778,16009,16487,2.98582047598226,0.5214104515474379,28.0
80,116,Democratic People's Republic of Korea,2019,2097.0,55.02,6.294706723891273,25430,25666,0.9280377506881636,0.5027273142976594,44.0
81,117,Republic of Korea,2019,3453.0,99.0,20.011584129742253,51096,51225,0.25246594645373416,4.018272774518089,951.0
82,118,Kuwait,2019,3449.0,101.02,18.991011887503625,4056,4207,3.722879684418146,9.217243830850316,56.0
83,119,Latvia,2019,3253.0,94.52,29.634183830310484,1951,1907,-2.255253716043055,4.219026483456789,35.0
84,120,Lao People's Democratic Republic,2019,2762.0,75.1,10.246198406951484,6953,7169,3.1065727024306056,1.325235832680309,36.0
85,121,Lebanon,2019,2870.0,71.41,12.717770034843205,6819,6856,0.542601554480129,3.9675528614385946,126.0
86,122,Lesotho,2019,2190.0,61.52,12.511415525114156,2092,2125,1.5774378585086042,2.221517482954901,2.0
87,123,Liberia,2019,2149.0,42.11,5.8166589111214515,4702,4937,4.997873245427478,3.205415707847549,16.0
88,124,Libya,2019,3141.0,83.16,13.689907672715696,6581,6777,2.978270779516791,6.149773433990571,124.0
89,126,Lithuania,2019,3410.0,116.04,28.1524926686217,2845,2760,-2.9876977152899826,5.808661069376933,100.0
90,129,Madagascar,2019,1912.0,42.66,6.642259414225942,25571,26969,5.467130734034648,1.0856164383561644,85.0
91,130,Malawi,2019,2600.0,70.01,11.0,17670,18629,5.427277872099604,1.8384615384615384,136.0
92,131,Malaysia,2019,2931.0,77.53,17.639031047424087,31105,31950,2.7166050474200287,8.768572136303941,1717.0
93,132,Maldives,2019,2212.0,80.01,24.77396021699819,496,531,7.056451612903226,3.9015333548019524,
94,133,Mali,2019,2888.0,80.42,8.102493074792244,18512,19658,6.190579083837511,0.5509524532311313,55.0
95,134,Malta,2019,3379.0,105.36,26.990233796981354,438,440,0.45662100456621,4.922101456619653,4.0
96,136,Mauritania,2019,2875.0,82.92,15.304347826086957,4283,4526,5.673593275741303,1.5327885646217987,5.0
97,137,Mauritius,2019,3033.0,87.14,16.254533465215957,1264,1270,0.47468354430379744,9.03283967679724,51.0
98,138,Mexico,2019,3163.0,91.65,22.13088839709137,124777,127576,2.2432018721398976,7.371872550335861,3515.0
99,141,Mongolia,2019,2880.0,103.74,45.416666666666664,3114,3225,3.5645472061657033,0.7002663622526636,0.0
100,143,Morocco,2019,3365.0,99.15,9.955423476968797,35581,36472,2.504145470897389,4.008548922225161,861.0
101,144,Mozambique,2019,2130.0,47.3,4.788732394366197,28649,30366,5.993228384934902,1.2112161553797673,112.0
102,146,Republic of Moldova,2019,2687.0,69.84,20.878302940081877,4060,4043,-0.4187192118226601,4.062309139387513,43.0
103,147,Namibia,2019,2474.0,65.58,12.409054163298302,2403,2495,3.8285476487723678,3.033122556782317,11.0
104,149,Nepal,2019,2883.0,74.9,8.532778355879293,27633,28609,3.532008830022075,0.5019409956333537,63.0
105,150,Netherlands,2019,3353.0,108.11,34.47658813003281,17021,17097,0.44650725574290584,1.0428281359159044,1036.0
106,153,New Caledonia,2019,2854.0,88.28,26.559215136650316,277,283,2.1660649819494586,8.514164210768833,1.0
107,154,North Macedonia,2019,3095.0,84.27,18.933764135702745,2082,2083,0.04803073967339097,4.237652422156816,1.0
108,155,Vanuatu,2019,2605.0,64.49,15.201535508637235,286,300,4.895104895104895,3.187253174874451,1.0
109,156,New Zealand,2019,3228.0,96.45,29.987608426270135,4702,4783,1.722671203743088,5.986055235864271,240.0
110,157,Nicaragua,2019,2620.0,65.87,11.221374045801527,6385,6546,2.5215348472983554,4.993433023109903,140.0
111,158,Niger,2019,2623.0,84.82,5.871139916126572,21602,23311,7.9113045088417735,0.2795920179236366,19.0
112,159,Nigeria,2019,2565.0,58.13,3.0409356725146197,190873,200964,5.286761354408428,0.3191006435418836,240.0
113,162,Norway,2019,3449.0,116.28,31.893302406494637,5296,5379,1.5672205438066464,3.8178944065581844,107.0
114,165,Pakistan,2019,2483.0,66.04,22.996375352396296,207906,216565,4.164862966917742,1.2948212226703226,1523.0
115,166,Panama,2019,2977.0,87.87,23.580786026200872,4107,4246,3.384465546627709,12.376650208677487,224.0
116,167,Czechia,2019,3286.0,86.77,28.75836883749239,10641,10689,0.45108542430222726,4.549287554506874,170.0
117,168,Papua New Guinea,2019,2244.0,64.31,14.705882352941176,8438,8776,4.0056885517895235,1.1175860132346838,7.0
118,169,Paraguay,2019,2770.0,70.05,13.249097472924188,6867,7045,2.5921071792631425,2.413520597398744,77.0
119,170,Peru,2019,2786.0,88.55,16.475233309404164,31444,32510,3.3901539244370946,9.518728672717797,1763.0
120,171,Philippines,2019,2809.0,65.26,14.845140619437522,105173,108117,2.7991975126696014,3.0979776354867186,1466.0
121,173,Poland,2019,3508.0,104.96,28.70581527936146,37953,37888,-0.1712644586725687,5.321605410724606,2558.0
122,174,Portugal,2019,3458.0,117.74,30.21978021978022,10289,10226,-0.6123044027602293,6.1881679963871745,350.0
123,175,Guinea-Bissau,2019,2230.0,43.28,6.547085201793722,1828,1921,5.087527352297593,0.7370108729037409,3.0
124,176,Timor-Leste,2019,2232.0,48.18,8.78136200716846,1243,1293,4.022526146419952,2.5874944763588155,1.0
125,181,Zimbabwe,2019,1707.0,38.21,8.201523140011716,14237,14645,2.8657722834866894,1.4039531020535907,52.0
126,183,Romania,2019,3588.0,107.75,26.059085841694536,19654,19365,-1.4704385875648722,4.3525221056489665,507.0
127,184,Rwanda,2019,2214.0,58.83,4.652213188798554,11981,12627,5.391870461564143,0.496863050822289,19.0
128,185,Russian Federation,2019,3363.0,104.83,25.899494498959264,145530,145872,0.23500309214594928,6.10401671697237,4606.0
129,188,Saint Kitts and Nevis,2019,2553.0,71.3,25.81276929103016,52,53,1.9230769230769231,13.272861902998889,0.0
130,189,Saint Lucia,2019,2633.0,84.3,26.5476642612989,181,183,1.1049723756906078,7.62973638071058,1.0
131,191,Saint Vincent and the Grenadines,2019,2949.0,91.46,21.532722956934553,110,111,0.9090909090909091,17.045973327387504,0.0
132,193,Sao Tome and Principe,2019,2402.0,54.56,8.32639467110741,207,215,3.864734299516908,3.6447138799858565,1.0
133,194,Saudi Arabia,2019,3302.0,89.55,14.082374318594791,33101,34269,3.52859430228694,8.294989338134629,800.0
134,195,Senegal,2019,2601.0,64.39,6.382160707420223,15419,16296,5.687787794279784,1.7723004323942841,114.0
135,196,Seychelles,2019,3123.0,95.8,19.72462375920589,96,98,2.0833333333333335,8.428671061808325,1.0
136,197,Sierra Leone,2019,2332.0,50.33,3.9451114922813035,7488,7813,4.340277777777778,1.1343781573815175,20.0
137,198,Slovenia,2019,3149.0,95.34,25.785963798031123,2076,2079,0.14450867052023122,5.021685510077128,70.0
138,199,Slovakia,2019,2914.0,71.07,31.50308853809197,5448,5457,0.16519823788546256,3.3234080160961255,71.0
139,202,South Africa,2019,2898.0,79.77,16.08005521048999,57010,58558,2.715313102964392,8.432343515130889,1816.0
140,203,Spain,2019,3348.0,108.54,26.045400238948627,46647,46737,0.19293845263360987,6.520564311549729,1631.0
141,207,Suriname,2019,2758.0,68.04,15.663524292965917,570,581,1.9298245614035088,12.34090615593988,11.0
142,208,Tajikistan,2019,2484.0,71.64,15.297906602254429,8880,9321,4.966216216216216,1.0306950786402842,16.0
143,209,Eswatini,2019,2544.0,60.03,10.770440251572326,1125,1148,2.0444444444444443,1.842896527957267,6.0
144,210,Sweden,2019,3184.0,108.1,32.914572864321606,9905,10036,1.3225643614336193,3.5166414263096306,158.0
145,211,Switzerland,2019,3379.0,97.16,33.56022491861498,8456,8591,1.596499526963103,3.360206269991527,99.0
146,212,Syrian Arab Republic,2019,2760.0,74.09,15.217391304347826,17096,17070,-0.1520823584464202,1.902700019853087,122.0
147,213,Turkmenistan,2019,2879.0,89.97,21.952066689822857,5758,5942,3.195554011809656,1.0757825919387916,21.0
148,215,United Republic of Tanzania,2019,2374.0,60.08,6.908171861836562,54660,58005,6.119648737650933,0.4109704446573034,81.0
149,216,Thailand,2019,2808.0,60.83,12.749287749287749,69210,69626,0.6010692096517845,2.5440912461460408,1775.0
150,217,Togo,2019,2464.0,56.8,4.342532467532467,7698,8082,4.9883086515978174,2.250856164383562,44.0
151,220,Trinidad and Tobago,2019,2959.0,85.05,20.919229469415342,1384,1395,0.7947976878612717,14.098330146708209,62.0
152,221,Oman,2019,2951.0,84.67,19.722128092172145,4666,4975,6.622374624946421,5.0324431467392055,7.0
153,222,Tunisia,2019,3499.0,100.76,11.460417262074879,11433,11695,2.2916120003498643,3.241223519831498,223.0
154,223,Turkey,2019,3734.0,111.07,16.363149437600427,81116,83430,2.852704768479708,3.6211855515037676,2202.0
155,226,Uganda,2019,2156.0,43.14,7.142857142857143,41167,44270,7.5375907887385525,0.4677103718199608,69.0
156,229,United Kingdom of Great Britain and Northern Ireland,2019,3395.0,106.19,29.013254786450663,66727,67530,1.203410913123623,6.391720297778765,1902.0
157,230,Ukraine,2019,3036.0,90.09,24.242424242424242,44488,43994,-1.1104117964394893,5.866406771707545,1410.0
158,231,United States of America,2019,3862.0,115.01,29.15587778353185,325085,329065,1.2242951843364043,9.935514993296113,22858.0
159,233,Burkina Faso,2019,2733.0,80.16,5.525064032199048,19193,20321,5.87714270827906,0.5199063701386905,44.0
160,234,Uruguay,2019,3209.0,87.51,26.26986600186974,3437,3462,0.7273785277858598,1.9241858300925907,31.0
161,235,Uzbekistan,2019,3219.0,100.37,23.36129232680957,31960,32982,3.197747183979975,0.4922655295824876,64.0
162,236,Venezuela (Bolivarian Republic of),2019,2204.0,51.55,13.248638838475499,29402,28516,-3.013400448949051,4.459376476145489,428.0
163,237,Viet Nam,2019,2939.0,88.21,21.06158557332426,94601,96462,1.9672096489466284,2.914158669196027,1089.0
164,238,Ethiopia,2019,2439.0,70.55,4.141041410414104,106400,112079,5.337406015037594,0.18524322229523665,77.0
165,244,Samoa,2019,3095.0,89.49,26.300484652665588,195,197,1.0256410256410255,13.762321021532742,0.0
166,249,Yemen,2019,2019.0,53.33,6.8350668647845465,27835,29162,4.767379198850368,3.9112540454721243,192.0
167,250,Democratic Republic of the Congo,2019,1913.0,25.91,1.5159435441714584,81399,86791,6.624160001965626,0.5510816403984274,10.0
168,251,Zambia,2019,2267.0,60.89,7.146007940008822,16854,17861,5.9748427672955975,1.0542567269519187,51.0
169,255,Belgium,2019,3800.0,100.34,33.078947368421055,11420,11539,1.042031523642732,2.160821917808219,448.0
170,256,Luxembourg,2019,3504.0,108.95,33.789954337899545,592,616,4.054054054054054,3.6122083567898917,0.0
171,272,Serbia,2019,2865.0,86.58,28.516579406631763,8830,8772,-0.6568516421291053,2.9071505414903536,104.0
172,273,Montenegro,2019,3520.0,111.99,34.85795454545455,628,628,0.0,3.0544676214196764,4.0
173,276,Sudan,2019,2581.0,75.87,13.676869430453312,40813,42813,4.900399382549677,0.32980739120973607,75.0
174,351,China,2019,3340.0,105.11,22.5748502994012,1452626,1465634,0.8954817000384132,2.9054056271019606,21195.0
